ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
20,48,2,192,1024,50,3,20971520,20,4,6,679.856,661.31,2.27
20,48,4,64,1024,30,4,5242880,20,4,6,1440.579,312.09,2.49
20,48,4,224,256,30,2,20971520,20,4,6,332.944,1350.38,2.29
20,48,4,224,1024,30,2,52428800,20,4,6,1285.418,349.77,2.32
20,48,5,32,1024,256,3,1048576,20,4,6,1315.075,341.88,2.06
20,48,5,64,1024,50,4,52428800,20,4,6,1734.130,259.26,2.38
20,48,5,128,256,50,2,2097152,20,4,6,336.372,1336.61,2.19
20,48,5,192,256,30,3,52428800,20,4,6,361.581,1243.43,2.28
20,48,5,224,256,30,4,52428800,20,4,6,393.654,1142.12,2.33
20,72,2,160,1024,50,3,20971520,20,4,6,834.435,538.80,2.30
20,72,5,96,1024,256,1,2097152,20,4,6,1919.397,234.24,2.02
20,72,5,192,1024,50,1,20971520,20,4,6,1950.902,230.45,2.19
20,72,5,256,1024,10,2,5242880,20,4,6,1918.899,234.30,2.55
20,72,5,256,1024,30,1,2097152,20,4,6,1914.794,234.80,2.35
24,8,1,256,256,50,2,52428800,20,4,6,85.565,5254.49,2.34
24,8,2,32,1024,50,4,1048576,20,4,6,296.618,1515.75,2.47
24,8,2,224,256,30,2,52428800,20,4,6,104.449,4304.50,2.41
24,8,3,128,1024,256,2,10485760,20,4,6,386.934,1161.95,2.16
24,8,4,32,256,50,4,5242880,20,4,6,121.498,3700.48,2.35
24,8,4,160,1024,50,4,52428800,20,4,6,449.684,999.81,2.47
24,8,4,256,1024,30,3,10485760,20,4,6,482.059,932.66,2.46
24,8,5,224,256,10,4,1048576,20,4,6,165.691,2713.49,2.72
24,8,5,224,1024,50,4,10485760,20,4,6,622.958,721.71,2.47
24,12,1,32,256,256,4,10485760,20,4,6,91.998,4887.07,2.10
24,12,3,32,1024,10,3,5242880,20,4,6,423.821,1060.82,2.60
24,12,3,256,1024,256,3,10485760,20,4,6,471.749,953.05,2.15
24,12,4,256,1024,50,3,2097152,20,4,6,555.805,808.91,2.32
24,12,5,96,1024,256,4,10485760,20,4,6,650.172,691.51,2.14
24,12,5,256,256,10,1,1048576,20,4,6,174.184,2581.18,2.81
24,16,2,64,256,256,3,5242880,20,4,6,146.138,3076.55,2.10
24,16,2,128,256,30,3,20971520,20,4,6,106.044,4239.75,2.39
24,16,2,192,1024,50,4,1048576,20,4,6,394.195,1140.55,2.51
24,16,3,128,1024,30,1,2097152,20,4,6,483.585,929.72,2.35
24,16,3,160,1024,50,1,2097152,20,4,6,492.015,913.79,2.26
24,16,3,224,256,30,4,5242880,20,4,6,153.890,2921.57,2.42
24,16,4,64,256,10,4,2097152,20,4,6,198.177,2268.68,2.71
24,20,1,32,1024,256,4,1048576,20,4,6,286.221,1570.81,2.20
24,20,1,256,256,256,2,2097152,20,4,6,105.876,4246.48,2.10
24,20,2,64,1024,10,1,10485760,20,4,6,522.916,859.79,2.89
24,20,2,96,256,30,3,52428800,20,4,6,125.351,3586.73,2.35
24,20,3,128,256,256,4,5242880,20,4,6,156.022,2881.65,2.09
24,20,4,128,256,50,4,5242880,20,4,6,177.809,2528.56,2.34
24,20,4,160,1024,256,1,52428800,20,4,6,673.628,667.43,2.04
24,20,5,256,256,256,1,10485760,20,4,6,229.938,1955.31,2.09
24,20,5,256,1024,50,4,20971520,20,4,6,833.949,539.12,2.40
24,24,1,96,1024,10,1,1048576,20,4,6,313.012,1436.36,2.77
24,24,1,192,256,50,1,5242880,20,4,6,103.325,4351.32,2.28
24,24,2,32,1024,10,2,52428800,20,4,6,439.875,1022.11,2.68
24,24,2,96,256,10,3,52428800,20,4,6,132.568,3391.47,2.67
24,24,2,224,1024,256,2,52428800,20,4,6,539.650,833.13,2.09
24,24,3,64,1024,10,4,1048576,20,4,6,747.027,601.85,2.75
24,24,3,128,256,10,4,2097152,20,4,6,154.130,2917.02,2.71
